Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,RowID,case_location,data_as_of,data_loaded_at,Analysis Neighborhoods
160952774,63,16037709,Medical Incident,04/04/2016,04/04/2016,04/04/2016 04:44:10 PM,04/04/2016 04:45:11 PM,04/04/2016 04:51:08 PM,04/04/2016 04:52:12 PM,04/04/2016 05:18:05 PM,,,No Merit,04/04/2016 05:20:06 PM,COLUMBUS AVE/JONES ST,San Francisco,94133,B01,28,1425,2,2,2,true,Potentially Life-Threatening,1,MEDIC,2,1,2,Russian Hill,160952774-63,POINT (-122.41682 37.804886),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,32
160943069,KM02,16037387,Medical Incident,04/03/2016,04/03/2016,04/03/2016 07:16:07 PM,04/03/2016 07:18:07 PM,04/03/2016 07:18:28 PM,04/03/2016 07:18:50 PM,04/03/2016 07:26:59 PM,04/03/2016 07:53:46 PM,04/03/2016 08:00:29 PM,Code 3 Transport,04/03/2016 08:24:54 PM,UNION ST/JONES ST,San Francisco,94133,B01,28,1513,2,2,2,false,Non Life-threatening,1,PRIVATE,1,1,3,Russian Hill,160943069-KM02,POINT (-122.415764 37.799618),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,32
160970824,73,16038317,Medical Incident,04/06/2016,04/06/2016,04/06/2016 08:28:47 AM,04/06/2016 08:31:01 AM,04/06/2016 08:32:35 AM,04/06/2016 08:32:49 AM,04/06/2016 08:51:37 AM,04/06/2016 09:08:44 AM,04/06/2016 09:22:58 AM,Code 2 Transport,04/06/2016 10:04:24 AM,MCALLISTER ST/LARKIN ST,San Francisco,94102,B02,01,1551,2,2,2,true,Non Life-threatening,1,MEDIC,1,2,6,Tenderloin,160970824-73,POINT (-122.41695 37.78047),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36
160991069,RC1,16039242,Medical Incident,04/08/2016,04/08/2016,04/08/2016 10:10:25 AM,04/08/2016 10:10:45 AM,04/08/2016 10:18:24 AM,04/08/2016 10:19:29 AM,04/08/2016 10:30:45 AM,,,Code 3 Transport,04/08/2016 11:34:00 AM,LEIDESDORFF ST/CALIFORNIA ST,San Francisco,94104,B01,13,1234,3,E,3,true,Potentially Life-Threatening,1,RESCUE CAPTAIN,3,1,3,Financial District/South Beach,160991069-RC1,POINT (-122.401955 37.792953),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,8
161033947,KM03,16041081,Medical Incident,04/12/2016,04/12/2016,04/12/2016 09:26:33 PM,04/12/2016 09:30:58 PM,04/12/2016 09:31:10 PM,04/12/2016 09:31:49 PM,04/12/2016 09:37:15 PM,,,Unable to Locate,04/12/2016 09:41:12 PM,CALL BOX: ACADEMY OF SCIENCES,San Francisco,94118,B07,22,7744,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,2,7,7,Golden Gate Park,161033947-KM03,POINT (-122.464357976 37.769734903),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,12
160981976,E02,16038925,Medical Incident,04/07/2016,04/07/2016,04/07/2016 01:12:44 PM,04/07/2016 01:14:28 PM,04/07/2016 01:14:42 PM,04/07/2016 01:15:53 PM,04/07/2016 01:17:49 PM,,,Code 2 Transport,04/07/2016 01:27:07 PM,VALLEJO ST/KEARNY ST,San Francisco,94133,B01,02,1251,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,1,3,North Beach,160981976-E02,POINT (-122.40565 37.79897),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,23
161020524,RC3,16040432,Medical Incident,04/11/2016,04/10/2016,04/11/2016 06:56:39 AM,04/11/2016 06:57:29 AM,04/11/2016 07:01:01 AM,04/11/2016 07:02:02 AM,04/11/2016 07:33:03 AM,,,Code 2 Transport,04/11/2016 08:01:59 AM,ARELIOUS WALKER DR/INNES AVE,San Francisco,94124,B10,25,6632,2,3,3,true,Non Life-threatening,1,RESCUE CAPTAIN,3,10,10,Bayview Hunters Point,161020524-RC3,POINT (-122.37389 37.730938),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,1
160980860,82,16038815,Medical Incident,04/07/2016,04/07/2016,04/07/2016 08:14:34 AM,04/07/2016 08:15:08 AM,04/07/2016 08:15:21 AM,04/07/2016 08:16:09 AM,04/07/2016 08:19:31 AM,,,Against Medical Advice,04/07/2016 08:56:28 AM,TURK ST/TAYLOR ST,San Francisco,94102,B03,01,1456,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,3,6,Tenderloin,160980860-82,POINT (-122.41077 37.783215),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36
160993727,E40,16039496,Medical Incident,04/08/2016,04/08/2016,04/08/2016 09:50:57 PM,04/08/2016 09:50:57 PM,04/08/2016 09:52:14 PM,04/08/2016 09:53:26 PM,04/08/2016 09:56:02 PM,,,Code 2 Transport,04/08/2016 10:05:12 PM,SANTIAGO ST/24TH AVE,San Francisco,94116,B08,40,7471,3,3,3,false,Potentially Life-Threatening,1,ENGINE,1,8,4,Sunset/Parkside,160993727-E40,POINT (-122.48118 37.744682),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,35
161003497,T02,16039980,Elevator / Escalator Rescue,04/09/2016,04/09/2016,04/09/2016 10:43:50 PM,04/09/2016 10:44:52 PM,04/09/2016 10:46:07 PM,04/09/2016 10:47:31 PM,04/09/2016 10:49:29 PM,,,Patient Declined Transport,04/09/2016 11:06:53 PM,STOCKTON ST/BROADWAY,San Francisco,94133,B01,02,1311,3,3,3,false,Alarm,1,TRUCK,1,1,3,Chinatown,161003497-T02,POINT (-122.408615 37.797626),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,6
161001235,E43,16039712,Medical Incident,04/09/2016,04/09/2016,04/09/2016 10:53:54 AM,04/09/2016 10:56:20 AM,04/09/2016 10:56:42 AM,04/09/2016 10:57:08 AM,04/09/2016 10:59:58 AM,,,SFPD,04/09/2016 11:03:18 AM,NAVAJO AVE/CAYUGA AVE,San Francisco,94112,B09,15,8332,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,9,11,Outer Mission,161001235-E43,POINT (-122.443085 37.719383),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,28
160921452,RS2,16036416,Medical Incident,04/01/2016,04/01/2016,04/01/2016 11:52:44 AM,04/01/2016 11:54:01 AM,04/01/2016 11:54:28 AM,04/01/2016 11:56:44 AM,,,,Code 2 Transport,04/01/2016 11:59:54 AM,TREAT AVE/16TH ST/HARRISON ST,San Francisco,94110,B02,29,5217,E,E,3,false,Potentially Life-Threatening,1,RESCUE SQUAD,4,2,9,Mission,160921452-RS2,POINT (-122.41311 37.765446),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,20
160941607,KM06,16037245,Medical Incident,04/03/2016,04/03/2016,04/03/2016 11:51:44 AM,04/03/2016 11:51:44 AM,04/03/2016 11:52:11 AM,04/03/2016 11:52:57 AM,04/03/2016 11:56:31 AM,04/03/2016 12:14:07 PM,04/03/2016 12:22:31 PM,Code 2 Transport,04/03/2016 12:50:13 PM,TAYLOR ST/06TH ST/GOLDEN GATE AVE/MARKET ST,San Francisco,94103,B03,01,1454,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,2,3,6,South of Market,160941607-KM06,POINT (-122.41029 37.78223),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,34
161031811,E39,16040911,Medical Incident,04/12/2016,04/12/2016,04/12/2016 12:56:45 PM,04/12/2016 01:00:01 PM,04/12/2016 01:01:21 PM,04/12/2016 01:03:49 PM,04/12/2016 01:06:55 PM,,,Code 2 Transport,04/12/2016 01:20:04 PM,WAWONA ST/15TH AVE,San Francisco,94127,B08,39,7356,2,2,2,true,Non Life-threatening,1,ENGINE,1,8,7,West of Twin Peaks,161031811-E39,POINT (-122.47096 37.737648),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,41
161002974,68,16039920,Medical Incident,04/09/2016,04/09/2016,04/09/2016 08:12:56 PM,04/09/2016 08:14:29 PM,04/09/2016 08:20:47 PM,04/09/2016 08:21:37 PM,04/09/2016 08:36:00 PM,,,Patient Declined Transport,04/09/2016 09:26:17 PM,JERROLD AVE/DORMITORY RD/NORTHRIDGE RD,San Francisco,94124,B10,17,6633,2,2,2,true,Non Life-threatening,1,MEDIC,1,10,10,Bayview Hunters Point,161002974-68,POINT (-122.374214 37.730175),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,1
161042628,54,16041353,Medical Incident,04/13/2016,04/13/2016,04/13/2016 04:11:45 PM,04/13/2016 04:13:46 PM,04/13/2016 04:14:07 PM,04/13/2016 04:18:14 PM,04/13/2016 04:37:19 PM,,,Patient Declined Transport,04/13/2016 05:00:12 PM,MYRTLE ST/LARKIN ST,San Francisco,94109,B04,03,1642,2,2,2,true,Non Life-threatening,1,MEDIC,1,4,6,Tenderloin,161042628-54,POINT (-122.418 37.78564),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36
161021201,E36,16040497,Medical Incident,04/11/2016,04/11/2016,04/11/2016 10:09:49 AM,04/11/2016 10:10:52 AM,04/11/2016 10:11:08 AM,04/11/2016 10:11:29 AM,,,,Code 2 Transport,04/11/2016 10:17:18 AM,GEARY ST/LARKIN ST,San Francisco,94109,B04,03,1556,3,3,3,true,Potentially Life-Threatening,1,ENGINE,2,4,6,Tenderloin,161021201-E36,POINT (-122.41809 37.786102),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36
160960682,AM02,16037914,Medical Incident,04/05/2016,04/05/2016,04/05/2016 08:10:39 AM,04/05/2016 08:12:09 AM,04/05/2016 08:14:32 AM,04/05/2016 08:15:07 AM,04/05/2016 08:41:27 AM,04/05/2016 09:24:28 AM,04/05/2016 09:44:57 AM,Code 2 Transport,04/05/2016 10:16:24 AM,29TH AVE/CLEMENT ST,San Francisco,94121,B07,14,7226,2,2,2,false,Non Life-threatening,1,PRIVATE,1,7,1,Outer Richmond,160960682-AM02,POINT (-122.48916 37.781826),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,29
160993799,78,16039503,Medical Incident,04/08/2016,04/08/2016,04/08/2016 10:07:51 PM,04/08/2016 10:07:51 PM,04/08/2016 10:16:04 PM,04/08/2016 10:16:14 PM,04/08/2016 10:29:36 PM,04/08/2016 10:47:01 PM,04/08/2016 10:56:53 PM,Code 2 Transport,04/08/2016 11:44:07 PM,QUESADA AVE/INDUSTRIAL ST,San Francisco,94124,B10,09,6426,2,3,3,true,Potentially Life-Threatening,1,MEDIC,2,10,10,Bayview Hunters Point,160993799-78,POINT (-122.401955 37.7393),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,1
161042910,E02,16041383,Structure Fire / Smoke in Building,04/13/2016,04/13/2016,04/13/2016 05:11:33 PM,04/13/2016 05:11:33 PM,04/13/2016 05:11:55 PM,,,,,Fire,04/13/2016 05:13:08 PM,TAYLOR ST/EDDY ST,San Francisco,94102,B03,01,1453,3,3,3,true,Alarm,1,ENGINE,2,3,6,Tenderloin,161042910-E02,POINT (-122.41095 37.78414),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36
161002823,52,16039896,Medical Incident,04/09/2016,04/09/2016,04/09/2016 07:25:03 PM,04/09/2016 07:25:03 PM,04/09/2016 07:28:36 PM,04/09/2016 07:28:44 PM,,,,Cancelled,04/09/2016 07:35:01 PM,JACKSON ST/LEAVENWORTH ST,San Francisco,94109,B01,41,1535,2,2,2,true,Non Life-threatening,1,MEDIC,2,1,3,Nob Hill,161002823-52,POINT (-122.41647 37.794777),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,21
161020410,71,16040413,Medical Incident,04/11/2016,04/10/2016,04/11/2016 05:28:06 AM,04/11/2016 05:30:42 AM,04/11/2016 05:35:17 AM,04/11/2016 05:35:17 AM,04/11/2016 05:42:42 AM,04/11/2016 06:00:29 AM,04/11/2016 06:09:33 AM,Code 2 Transport,04/11/2016 06:45:29 AM,LAGUNA ST/BUSH ST,San Francisco,94109,B04,38,3363,2,2,2,true,Non Life-threatening,1,MEDIC,2,4,5,Pacific Heights,161020410-71,POINT (-122.42853 37.78765),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,30
160974325,70,16038685,Medical Incident,04/06/2016,04/06/2016,04/06/2016 09:50:34 PM,04/06/2016 09:51:50 PM,04/06/2016 09:52:45 PM,04/06/2016 09:53:00 PM,04/06/2016 09:56:06 PM,,,No Merit,04/06/2016 10:26:47 PM,VAN NESS AVE/DANIEL BURNHAM CT,San Francisco,94109,B04,03,3161,3,3,3,true,Non Life-threatening,1,MEDIC,2,4,2,Nob Hill,160974325-70,POINT (-122.42177 37.78706),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,39
161001456,E08,16039740,Alarms,04/09/2016,04/09/2016,04/09/2016 12:06:25 PM,04/09/2016 12:07:17 PM,04/09/2016 12:07:51 PM,04/09/2016 12:08:40 PM,04/09/2016 12:12:09 PM,,,Fire,04/09/2016 12:37:49 PM,03RD ST/FOLSOM ST,San Francisco,94107,B03,01,2176,3,3,3,true,Alarm,1,ENGINE,1,3,6,South of Market,161001456-E08,POINT (-122.39893 37.783787),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,8
161032584,RS1,16040970,Structure Fire / Smoke in Building,04/12/2016,04/12/2016,04/12/2016 03:54:57 PM,04/12/2016 03:55:23 PM,04/12/2016 03:57:47 PM,04/12/2016 03:57:47 PM,,,,Fire,04/12/2016 04:37:42 PM,06TH ST/TEHAMA ST,San Francisco,94103,B03,01,2252,3,3,3,false,Fire,1,RESCUE SQUAD,16,3,6,South of Market,161032584-RS1,POINT (-122.40663 37.779316),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,34
160973784,B09,16038629,Structure Fire / Smoke in Building,04/06/2016,04/06/2016,04/06/2016 07:18:57 PM,04/06/2016 07:18:57 PM,04/06/2016 07:19:06 PM,04/06/2016 07:21:50 PM,,,,Fire,04/06/2016 07:26:48 PM,MISSION ST/MORSE ST/WHITTIER ST,San Francisco,94112,B09,33,0621,3,3,3,false,Alarm,1,CHIEF,3,9,11,Excelsior,160973784-B09,POINT (-122.44838 37.710373),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,28
160992069,E38,16039332,Medical Incident,04/08/2016,04/08/2016,04/08/2016 02:36:15 PM,04/08/2016 02:36:47 PM,04/08/2016 02:37:04 PM,04/08/2016 02:37:54 PM,04/08/2016 02:38:41 PM,,,Code 2 Transport,04/08/2016 02:52:40 PM,BUCHANAN ST/SACRAMENTO ST,San Francisco,94115,B04,38,3435,2,2,2,false,Non Life-threatening,1,ENGINE,1,4,2,Pacific Heights,160992069-E38,POINT (-122.43074 37.790253),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,30
160931657,KM12,16036847,Medical Incident,04/02/2016,04/02/2016,04/02/2016 12:41:18 PM,04/02/2016 12:41:18 PM,04/02/2016 12:53:29 PM,04/02/2016 12:56:33 PM,,,,Medical Examiner,04/02/2016 01:04:41 PM,ARBALLO DR/VIDAL DR,San Francisco,94132,B08,19,8582,2,2,2,false,Non Life-threatening,1,PRIVATE,2,8,7,Lakeshore,160931657-KM12,POINT (-122.483025 37.721207),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,16
160960289,E16,16037869,Structure Fire / Smoke in Building,04/05/2016,04/04/2016,04/05/2016 03:44:59 AM,04/05/2016 03:44:59 AM,04/05/2016 03:45:13 AM,04/05/2016 03:46:48 AM,04/05/2016 03:47:55 AM,,,Fire,04/05/2016 03:51:09 AM,UNION ST/FILLMORE ST,San Francisco,94123,B04,16,3552,3,3,3,true,Alarm,1,ENGINE,1,4,2,Marina,160960289-E16,POINT (-122.43549 37.79709),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,13
160933076,T02,16037001,Alarms,04/02/2016,04/02/2016,04/02/2016 07:17:43 PM,04/02/2016 07:19:36 PM,04/02/2016 07:19:55 PM,04/02/2016 07:21:08 PM,04/02/2016 07:23:56 PM,,,Fire,04/02/2016 07:31:03 PM,MASON ST/COLUMBUS AVE,San Francisco,94133,B01,28,1423,3,3,3,false,Alarm,1,TRUCK,2,1,3,Russian Hill,160933076-T02,POINT (-122.41291 37.802185),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,32
161041479,E28,16041247,Alarms,04/13/2016,04/13/2016,04/13/2016 11:14:10 AM,04/13/2016 11:16:05 AM,04/13/2016 11:16:11 AM,04/13/2016 11:18:45 AM,04/13/2016 11:20:03 AM,,,Fire,04/13/2016 11:32:05 AM,POLK ST/NORTH POINT ST,San Francisco,94109,B01,28,3135,3,3,3,false,Alarm,1,ENGINE,2,1,2,Russian Hill,161041479-E28,POINT (-122.42365 37.805286),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,32
160923842,E01,16036641,Medical Incident,04/01/2016,04/01/2016,04/01/2016 10:44:22 PM,04/01/2016 10:45:45 PM,04/01/2016 10:45:58 PM,04/01/2016 10:47:00 PM,04/01/2016 10:50:38 PM,,,Code 2 Transport,04/01/2016 11:01:32 PM,06TH ST/TEHAMA ST,San Francisco,94103,B03,01,2252,2,2,2,true,Non Life-threatening,1,ENGINE,1,3,6,South of Market,160923842-E01,POINT (-122.40663 37.779316),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,34
161030278,75,16040779,Medical Incident,04/12/2016,04/11/2016,04/12/2016 03:10:38 AM,04/12/2016 03:14:09 AM,04/12/2016 03:15:00 AM,04/12/2016 03:15:08 AM,04/12/2016 03:21:35 AM,,,Against Medical Advice,04/12/2016 04:27:27 AM,WELSH ST/05TH ST,San Francisco,94107,B03,08,2242,2,2,2,true,Non Life-threatening,1,MEDIC,1,3,6,South of Market,161030278-75,POINT (-122.399765 37.77737),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,34
160922059,KM12,16036471,Medical Incident,04/01/2016,04/01/2016,04/01/2016 02:40:40 PM,04/01/2016 02:41:32 PM,04/01/2016 02:41:55 PM,04/01/2016 02:42:37 PM,04/01/2016 02:53:48 PM,04/01/2016 03:05:10 PM,04/01/2016 03:32:02 PM,Code 2 Transport,04/01/2016 04:06:30 PM,VICENTE ST/29TH AVE,San Francisco,94116,B08,18,7523,2,2,2,false,Non Life-threatening,1,PRIVATE,2,8,4,Sunset/Parkside,160922059-KM12,POINT (-122.48614 37.738853),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,35
160943428,AM18,16037430,Medical Incident,04/03/2016,04/03/2016,04/03/2016 09:25:48 PM,04/03/2016 09:29:54 PM,04/03/2016 09:31:26 PM,04/03/2016 09:32:29 PM,04/03/2016 09:36:04 PM,04/03/2016 09:47:23 PM,04/03/2016 10:13:05 PM,Code 2 Transport,04/03/2016 10:21:21 PM,GEARY ST/SHANNON ST,San Francisco,94102,B01,03,1462,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,2,1,6,Tenderloin,160943428-AM18,POINT (-122.41234 37.786835),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36
161013502,T15,16040358,Structure Fire / Smoke in Building,04/10/2016,04/10/2016,04/10/2016 10:40:05 PM,04/10/2016 10:40:55 PM,04/10/2016 10:41:27 PM,04/10/2016 10:45:01 PM,04/10/2016 10:45:49 PM,,,Fire,04/10/2016 10:58:44 PM,GENNESSEE ST/MANGELS AVE,San Francisco,94127,B09,15,8241,3,3,3,false,Alarm,1,TRUCK,2,9,7,West of Twin Peaks,161013502-T15,POINT (-122.451164 37.73306),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,41
160982194,E38,16038951,Structure Fire / Smoke in Building,04/07/2016,04/07/2016,04/07/2016 02:12:19 PM,04/07/2016 02:12:19 PM,04/07/2016 02:13:02 PM,04/07/2016 02:13:36 PM,04/07/2016 02:16:00 PM,,,Fire,04/07/2016 02:19:01 PM,HEMLOCK ST/LAGUNA ST,San Francisco,94109,B04,38,3364,3,3,3,false,Alarm,1,ENGINE,2,4,5,Japantown,160982194-E38,POINT (-122.42824 37.786247),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,15
160950470,E10,16037523,Medical Incident,04/04/2016,04/03/2016,04/04/2016 06:39:15 AM,04/04/2016 06:39:53 AM,04/04/2016 06:40:16 AM,04/04/2016 06:42:30 AM,04/04/2016 06:43:49 AM,,,Code 2 Transport,04/04/2016 06:50:12 AM,WALNUT ST/SACRAMENTO ST,San Francisco,94118,B04,10,4412,2,2,2,true,Non Life-threatening,1,ENGINE,2,4,2,Presidio Heights,160950470-E10,POINT (-122.448654 37.787975),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,31
160922665,AM16,16036535,Medical Incident,04/01/2016,04/01/2016,04/01/2016 05:12:00 PM,04/01/2016 05:13:33 PM,04/01/2016 05:15:28 PM,04/01/2016 05:16:17 PM,04/01/2016 05:47:57 PM,04/01/2016 05:47:58 PM,04/01/2016 06:21:04 PM,Code 2 Transport,04/01/2016 06:49:12 PM,MERCURY ST/LEDYARD ST,San Francisco,94124,B10,42,6447,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,2,10,10,Bayview Hunters Point,160922665-AM16,POINT (-122.40127 37.732464),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,1
160940780,E35,16037183,Medical Incident,04/03/2016,04/02/2016,04/03/2016 07:00:35 AM,04/03/2016 07:02:18 AM,04/03/2016 07:02:59 AM,04/03/2016 07:04:15 AM,04/03/2016 07:09:40 AM,,,Code 2 Transport,04/03/2016 07:18:57 AM,FREMONT ST/HOWARD ST,San Francisco,94105,B03,35,2141,2,2,2,true,Non Life-threatening,1,ENGINE,1,3,6,Financial District/South Beach,160940780-E35,POINT (-122.39515 37.789234),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,8
160990312,T03,16039178,Alarms,04/08/2016,04/07/2016,04/08/2016 03:24:58 AM,04/08/2016 03:26:27 AM,04/08/2016 03:26:33 AM,04/08/2016 03:28:45 AM,04/08/2016 03:30:12 AM,,,Fire,04/08/2016 03:38:17 AM,HYDE ST/TURK ST,San Francisco,94102,B02,03,1554,3,3,3,false,Alarm,1,TRUCK,1,2,6,Tenderloin,160990312-T03,POINT (-122.415695 37.782585),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36
161003375,E22,16039966,Medical Incident,04/09/2016,04/09/2016,04/09/2016 10:12:06 PM,04/09/2016 10:13:00 PM,04/09/2016 10:13:19 PM,04/09/2016 10:14:36 PM,04/09/2016 10:16:34 PM,,,Code 2 Transport,04/09/2016 11:23:05 PM,LAWTON ST/10TH AVE,San Francisco,94122,B08,22,7335,3,3,3,false,Potentially Life-Threatening,1,ENGINE,1,8,7,Inner Sunset,161003375-E22,POINT (-122.466995 37.758396),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,14
161030993,RC1,16040844,Medical Incident,04/12/2016,04/12/2016,04/12/2016 09:26:00 AM,04/12/2016 09:27:26 AM,04/12/2016 09:28:39 AM,04/12/2016 09:28:39 AM,04/12/2016 09:31:51 AM,,,Code 2 Transport,04/12/2016 09:39:33 AM,FOLSOM ST/RAUSCH ST,San Francisco,94103,B02,29,2322,3,3,3,true,Potentially Life-Threatening,1,RESCUE CAPTAIN,2,2,6,South of Market,161030993-RC1,POINT (-122.40894 37.775875),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,34
160994120,E09,16039545,Medical Incident,04/08/2016,04/08/2016,04/08/2016 11:53:15 PM,04/08/2016 11:54:00 PM,04/08/2016 11:54:13 PM,04/08/2016 11:54:48 PM,04/08/2016 11:54:48 PM,,,Code 2 Transport,04/09/2016 12:10:27 AM,GIANTS DR/EGBERT AVE,San Francisco,94124,B10,17,6573,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,10,10,Bayview Hunters Point,160994120-E09,POINT (-122.38603 37.719124),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,1
160943484,T19,16037436,Alarms,04/03/2016,04/03/2016,04/03/2016 09:47:33 PM,04/03/2016 09:48:39 PM,04/03/2016 09:49:14 PM,04/03/2016 09:53:38 PM,04/03/2016 09:53:38 PM,,,Fire,04/03/2016 10:02:41 PM,TAPIA DR/SERRANO DR,San Francisco,94132,B08,19,8581,3,3,3,false,Alarm,1,TRUCK,2,8,7,Lakeshore,160943484-T19,POINT (-122.48142 37.719055),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,16
160983046,E06,16039047,Traffic Collision,04/07/2016,04/07/2016,04/07/2016 06:01:06 PM,04/07/2016 06:01:06 PM,04/07/2016 06:01:20 PM,04/07/2016 06:02:52 PM,04/07/2016 06:04:19 PM,,,Code 2 Transport,04/07/2016 06:11:34 PM,16TH ST/DOLORES ST,San Francisco,94103,B02,06,5235,3,3,3,true,Potentially Life-Threatening,1,ENGINE,2,2,8,Mission,160983046-E06,POINT (-122.426384 37.764645),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,5
160953568,55,16037784,Medical Incident,04/04/2016,04/04/2016,04/04/2016 08:25:17 PM,04/04/2016 08:25:17 PM,04/04/2016 08:27:25 PM,04/04/2016 08:27:34 PM,04/04/2016 08:33:15 PM,04/04/2016 08:45:58 PM,04/04/2016 08:55:46 PM,Code 2 Transport,04/04/2016 09:59:25 PM,06TH ST/MINNA ST,San Francisco,94103,B03,01,2251,2,3,3,true,Potentially Life-Threatening,1,MEDIC,2,3,6,South of Market,160953568-55,POINT (-122.40816 37.780537),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,34
160932763,AM16,16036972,Medical Incident,04/02/2016,04/02/2016,04/02/2016 05:46:26 PM,04/02/2016 05:47:45 PM,04/02/2016 06:09:30 PM,04/02/2016 06:09:30 PM,04/02/2016 06:17:23 PM,04/02/2016 06:37:49 PM,04/02/2016 06:54:48 PM,Code 2 Transport,04/02/2016 07:33:30 PM,CAPP ST/15TH ST,San Francisco,94103,B02,07,5225,2,2,2,false,Non Life-threatening,1,PRIVATE,2,2,9,Mission,160932763-AM16,POINT (-122.41873 37.76674),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,20
160923420,RC1,16036602,Medical Incident,04/01/2016,04/01/2016,04/01/2016 08:46:56 PM,04/01/2016 08:47:22 PM,04/01/2016 08:47:33 PM,04/01/2016 08:48:45 PM,,,,Code 2 Transport,04/01/2016 08:51:23 PM,POLK ST/SACRAMENTO ST,San Francisco,94109,B04,41,3123,3,3,3,true,Potentially Life-Threatening,1,RESCUE CAPTAIN,4,4,3,Nob Hill,160923420-RC1,POINT (-122.420876 37.791496),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,21
160933343,E04,16037031,Traffic Collision,04/02/2016,04/02/2016,04/02/2016 08:33:53 PM,04/02/2016 08:36:06 PM,04/02/2016 08:36:57 PM,04/02/2016 08:38:37 PM,04/02/2016 08:39:21 PM,,,Unable to Locate,04/02/2016 08:43:37 PM,04TH ST/MISSION BAY BLVD,San Francisco,94158,B03,04,2231,2,2,2,false,Non Life-threatening,1,ENGINE,1,3,6,Mission Bay,160933343-E04,POINT (-122.39116 37.770557),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,4
